Authors,Title,Year,DOI,Link,Author Keywords
"Couraud M., Cattaert D., Paclet F., Oudeyer P.Y., De Rugy A.","Model and experiments to optimize co-adaptation in a simplified myoelectric control system",2018,"10.1088/1741-2552/aa87cf","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042621284&doi=10.1088%2f1741-2552%2faa87cf&partnerID=40&md5=a306e31ddfb4e6aa80a053c44ff99333","co-adaptation; electromyography (EMG); myoelectric control; sensorimotor adaptation; visuomotor rotation"
"Abur D., Lester-Smith R.A., Daliri A., Lupiani A.A., Guenther F.H., Stepp C.E.","Sensorimotor adaptation of voice fundamental frequency in Parkinson’s disease",2018,"10.1371/journal.pone.0191839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041061927&doi=10.1371%2fjournal.pone.0191839&partnerID=40&md5=90f19ab0f9e48e7a10f910798e48952e",
"Fine J.M., Moore D., Santello M.","Neural oscillations reflect latent learning states underlying dual-context sensorimotor adaptation",2017,"10.1016/j.neuroimage.2017.09.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029657759&doi=10.1016%2fj.neuroimage.2017.09.026&partnerID=40&md5=ba482261a9f24e30ba595d918016874a","Computational modeling; EEG; Learning; Neural oscillations; Sensorimotor adaptation"
"Panouillères M.T.N., Joundi R.A., Benitez-Riveiro S., Cheeran B., Butler C.R., Németh A.H., Chris Miall R., Jenkinson N.","Sensorimotor adaptation as a behavioural biomarker of early spinocerebellar ataxia type",2017,"10.1038/s41598-017-02469-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019844109&doi=10.1038%2fs41598-017-02469-7&partnerID=40&md5=531e3245915e5f8a7d136ae837b77e3b",
"Canaveral C.A., Danion F., Berrigan F., Bernier P.-M.","Variance in exposed perturbations impairs retention of visuomotor adaptation",2017,"10.1152/jn.00416.2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033489429&doi=10.1152%2fjn.00416.2017&partnerID=40&md5=8a6f4c2a896cd1baf5e662ba1bf9dcab","Arm reaching movement; Retention; Sensorimotor adaptation; Uncertainty; Visuomotor rotation"
"Poh E., Carrol T.J., de Rugy A.","Distinct coordinate systems for adaptations of movement direction and extent",2017,"10.1152/jn.00326.2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033362695&doi=10.1152%2fjn.00326.2016&partnerID=40&md5=26bf3db06caaa1c3f888c2eb86d087ae","Coordinate frames; Motor learning; Sensorimotor adaptation; Visuomotor gain; Visuomotor rotation"
"Macaluso T., Bourdin C., Buloup F., Mille M.L., Sainton P., Sarlegna F.R., Vercher J.-L., Bringoux L.","Sensorimotor reorganizations of arm kinematics and postural strategy for functional whole-body reaching movements in microgravity",2017,"10.3389/fphys.2017.00821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031808907&doi=10.3389%2ffphys.2017.00821&partnerID=40&md5=42fcbaf3a3227be7ac710b82cc08c619","Arm kinematics; Microgravity; Parabolic flight; Postural strategy; Sensorimotor adaptation; Weightlessness; Whole-body reaching"
"Schmitz G., Bock O.L.","Properties of intermodal transfer after dual visuo- and auditory-motor adaptation",2017,"10.1016/j.humov.2017.08.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029492752&doi=10.1016%2fj.humov.2017.08.006&partnerID=40&md5=a24bee1bb622cbf8f8c07c2e8518d406","Interference; Intermanual transfer; Intermodal transfer; Motor learning; Sensorimotor adaptation"
"Wang T.S.L., Song J.-H.","Impaired visuomotor generalization by inconsistent attentional contexts",2017,"10.1152/jn.00089.2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028992499&doi=10.1152%2fjn.00089.2017&partnerID=40&md5=1f1a6a59a4f06ab950712f8e644122e4","Motor control; Motor learning; Visual attention"
"Butcher P.A., Ivry R.B., Kuo S.-H., Rydz D., Krakauer J.W., Taylor J.A.","The cerebellum does more than sensory prediction error-based learning in sensorimotor adaptation tasks",2017,"10.1152/jn.00451.2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028752998&doi=10.1152%2fjn.00451.2017&partnerID=40&md5=48354b4bda1903461427ebc5d5bb50a4","Aiming; Cerebellum; Explicit learning; Implicit learning; Motor learning; Visuomotor rotation"
"Leow L.-A., Gunn R., Marinovic W., Carroll T.J.","Estimating the implicit component of visuomotor rotation learning by constraining movement preparation time",2017,"10.1152/jn.00834.2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026676659&doi=10.1152%2fjn.00834.2016&partnerID=40&md5=ba04f5252f6432b50e0c32877e052199","Compensatory strategies; Explicit learning; Implicit learning; Motor learning; Visuomotor rotation"
"Shiller D.M., Veilleux L.-N., Marois M., Ballaz L., Lemay M.","Sensorimotor adaptation of whole-body postural control",2017,"10.1016/j.neuroscience.2017.05.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020264954&doi=10.1016%2fj.neuroscience.2017.05.029&partnerID=40&md5=c6eb5b739b863c1769b41fdef515aadb","center of pressure; motor learning; postural control; sensorimotor adaptation; visual feedback"
"Seidler R.D., Carson R.G.","Sensorimotor Learning: Neurocognitive Mechanisms and Individual Differences",2017,"10.1186/s12984-017-0279-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023186561&doi=10.1186%2fs12984-017-0279-1&partnerID=40&md5=5f277664373874dca20b6ee16c65bc39","Adaptation; BANCOM; Genetic predictors; Genotype; Motor learning; SNP"
"McDougle S.D., Bond K.M., Taylor J.A.","Implications of plan-based generalization in sensorimotor adaptation",2017,"10.1152/jn.00974.2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022343038&doi=10.1152%2fjn.00974.2016&partnerID=40&md5=e2f4168053198a95cf0025e63a77f61d","Adaptation; Explicit learning; Generalization; Motor learning; Movement planning"
"Leow L.-A., Marinovic W., Riek S., Carroll T.J.","Cerebellar anodal tDCS increases implicit learning when strategic re-aiming is suppressed in sensorimotor adaptation",2017,"10.1371/journal.pone.0179977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022341545&doi=10.1371%2fjournal.pone.0179977&partnerID=40&md5=7b5cca10e39cfdf92f3a28308b21d7df",
"Genoves G.G., Barela A.M.F., Aguiar S.A., Barela J.A.","Lasting effects of adaptive visual reweighting on postural control in young adults",2017,"10.1037/pne0000086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021730843&doi=10.1037%2fpne0000086&partnerID=40&md5=6b3045b75a530f05c08cf58428da6ed3","Moving room; Posture; Reweighting; Sensorimotor adaptation; Visual manipulation"
"Ryan Morehead J., Taylor J.A., Parvin D.E., Ivry R.B.","Characteristics of implicit sensorimotor adaptation revealed by task-irrelevant clamped feedback",2017,"10.1162/jocn_a_01108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018250583&doi=10.1162%2fjocn_a_01108&partnerID=40&md5=dd5bf598e6d1f2b53dee41c27070fa8e",
"Dulude G., O'Connor K., Audet J.-S., Bedard M.-A.","Over facilitation of unadapted cognitive processes in obsessive compulsive disorder as assessed with the computerized mirror pointing task",2017,"10.1016/j.jpsychires.2017.01.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011629766&doi=10.1016%2fj.jpsychires.2017.01.014&partnerID=40&md5=c3dd0f5bd1ecc223e74c4f7bb5512a3d","Cognition; Motor learning; Neuropsychology; Obsessive Compulsive Disorder (OCD); Over facilitation; Response inhibition"
"Desmottes L., Maillart C., Meulemans T.","Mirror-drawing skill in children with specific language impairment: Improving generalization by incorporating variability into the practice session",2017,"10.1080/09297049.2016.1170797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964324826&doi=10.1080%2f09297049.2016.1170797&partnerID=40&md5=ffef0c3b6e8d51db43c91632ccfa330c","Perceptuomotor adaptation; Procedural learning; Skill learning; Specific language impairment; Variability"
"Lebar N., Danna J., Moré S., Mouchnino L., Blouin J.","On the neural basis of sensory weighting: Alpha, beta and gamma modulations during complex movements",2017,"10.1016/j.neuroimage.2017.02.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013829975&doi=10.1016%2fj.neuroimage.2017.02.043&partnerID=40&md5=cc74acfd7630e8726b7d6f310cda1990","Arm movement; Electroencephalography; Event-related desynchronization; Proprioception; Sensory conflict; Vision"
"Schuerman W.L., Meyer A.S., McQueen J.M.","Mapping the speech code: Cortical responses linking the perception and production of vowels",2017,"10.3389/fnhum.2017.00161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018266839&doi=10.3389%2ffnhum.2017.00161&partnerID=40&md5=7621d26dbff6aed3e2f762ecc9c41fc2","Altered auditory feedback; Categorical perception; EEG/ERP; Phonetics; Sensorimotor integration; Speech production and perception"
